0,1,2,3,4,5,6
-1.2527294,-0.55356425,-0.9446243,0.73842406,-1.696356,-0.64121807,-0.3975112
-1.2633471,-0.55424345,-0.9519598,0.7361361,-1.7077603,-0.6455748,-0.3920953
-1.2628573,-0.55150634,-0.9546944,0.733665,-1.6681361,-0.64853764,-0.38672808
-1.2648478,-0.5486414,-0.9557643,0.73608863,-1.6437886,-0.6485229,-0.379914
-1.2460228,-0.537453,-0.9441409,0.7456173,-1.6140106,-0.6449423,-0.36377132
-1.23858,-0.5280111,-0.9410595,0.7582251,-1.6061456,-0.6399007,-0.33988118
-1.2301588,-0.52352196,-0.94367343,0.7651397,-1.5841,-0.6387694,-0.32990533
-1.2096553,-0.51640165,-0.9370425,0.7715734,-1.5430261,-0.6342616,-0.32049876
-1.1841595,-0.50422883,-0.92713475,0.8000761,-1.5026994,-0.6249501,-0.29270896
-1.2088385,-0.51235735,-0.94146967,0.7901232,-1.5049895,-0.6296174,-0.3035501
-1.2301726,-0.51467687,-0.9438875,0.79119456,-1.5223558,-0.6303407,-0.30629686
-1.2311305,-0.51171607,-0.93570685,0.79642963,-1.5236206,-0.62994236,-0.31164545
-1.2647283,-0.5244973,-0.94735193,0.76802635,-1.538722,-0.6396075,-0.3479456
-1.2915806,-0.5365217,-0.9611913,0.7511666,-1.5482728,-0.64644814,-0.35992634
-1.3142453,-0.5530455,-0.9793494,0.7221897,-1.5283082,-0.6568415,-0.39692134
-1.2865038,-0.53821397,-0.9564669,0.76254165,-1.5036628,-0.6426548,-0.34955692
-1.2809404,-0.5331089,-0.94773436,0.7818279,-1.5347817,-0.6391748,-0.33820683
-1.2964928,-0.54146945,-0.9587335,0.7700901,-1.5557151,-0.64744526,-0.36265123
-1.290786,-0.54068017,-0.9573914,0.7773279,-1.5252824,-0.6479862,-0.34342
-1.2810302,-0.53423077,-0.95131016,0.79473746,-1.4585676,-0.63907015,-0.30340698
-1.3030419,-0.5373943,-0.95453894,0.7907733,-1.468142,-0.63838255,-0.29329404
-1.307095,-0.5385544,-0.9537882,0.7791954,-1.4547782,-0.6421232,-0.29655913
-1.2653549,-0.51563096,-0.92063,0.8259453,-1.4190995,-0.6252688,-0.23345369
-1.23158,-0.49515554,-0.89153826,0.85945404,-1.4276341,-0.6120676,-0.19082345
-1.2244259,-0.49251375,-0.8860307,0.85166603,-1.417623,-0.6127413,-0.19996002
-1.223181,-0.49149922,-0.88109577,0.84716964,-1.4137806,-0.616008,-0.21351996
-1.2281415,-0.49230677,-0.87413335,0.8419895,-1.44722,-0.621555,-0.24554965
-1.2209398,-0.4862905,-0.8625933,0.849287,-1.4662166,-0.61989915,-0.25931954
